Dataset,Framework,AUC,AUC_STD,Best_Params,Time_Taken
Iris,SAGAFS_GA,0.9800000000000001,0.016329931618554516,"{'n_neighbors': 7, 'weights': 'uniform'}",5.488624572753906
WBDC (Breast Cancer Wisconsin Diagnostic),SAGAFS_GA,0.9420586865393572,0.02801788260215917,"{'n_neighbors': 3, 'weights': 'distance'}",9.727120161056519
Spambase,SAGAFS_GA,0.861331964311004,0.06287440986146839,"{'n_neighbors': 5, 'weights': 'distance'}",31.380335807800293
Heart,SAGAFS_GA,0.8479407979407979,0.00800466691705972,"{'n_neighbors': 7, 'weights': 'uniform'}",10.767784357070923
Glass,SAGAFS_GA,0.8223698781838316,0.04335997199005091,"{'n_neighbors': 7, 'weights': 'distance'}",6.260760307312012
WBC (Breast Cancer Wisconsin Original),SAGAFS_GA,0.9642548818088386,0.027463155599313727,"{'n_neighbors': 7, 'weights': 'uniform'}",13.070450782775879
Ionosphere,SAGAFS_GA,0.8718309859154928,0.019932723301497802,"{'n_neighbors': 3, 'weights': 'distance'}",6.5342371463775635
Arrhythmia,SAGAFS_GA,0.6284493284493284,0.029283366748689938,"{'n_neighbors': 7, 'weights': 'distance'}",4.656116008758545
Multiple Features,SAGAFS_GA,0.9540000000000001,0.008000000000000005,"{'n_neighbors': 5, 'weights': 'distance'}",13.82322907447815
Australian,SAGAFS_GA,0.8376811594202899,0.041652486559999743,"{'n_neighbors': 7, 'weights': 'uniform'}",13.171302795410156
DNA,SAGAFS_GA,0.7790322977515096,0.005044222532240489,"{'n_neighbors': 7, 'weights': 'distance'}",23.363778352737427
Wine,SAGAFS_GA,0.8552380952380952,0.11415071391598192,"{'n_neighbors': 7, 'weights': 'uniform'}",6.183077096939087
Vehicle,SAGAFS_GA,0.9303028193525931,0.022686120088898788,"{'n_neighbors': 3, 'weights': 'distance'}",15.06394100189209
Waveform,SAGAFS_GA,0.8652000000000001,0.005153639490690054,"{'n_neighbors': 7, 'weights': 'uniform'}",65.47456502914429
Hillvalley,SAGAFS_GA,0.608053599972792,0.018550679669460553,"{'n_neighbors': 3, 'weights': 'distance'}",5.809120416641235
Sonar,SAGAFS_GA,0.6099883855981416,0.16438240067075627,"{'n_neighbors': 5, 'weights': 'uniform'}",3.8746509552001953
