Generation,Average_Fitness,Best_Fitness,Best_Individual
1,0.6718400621118013,0.7486024844720497,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]"
2,0.6611133540372671,0.7486024844720497,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]"
3,0.6661816770186335,0.7985714285714286,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
4,0.6943638716356106,0.7985714285714286,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
5,0.7131614906832298,0.8536438923395445,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
6,0.6909611801242235,0.8536438923395445,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
7,0.6873757763975157,0.8536438923395445,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
8,0.7025910973084886,0.8536438923395445,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
9,0.7012593167701863,0.8536438923395445,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
10,0.7050905797101449,0.8536438923395445,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
