Generation,Average_Fitness,Best_Fitness,Best_Individual
1,0.7245574012550757,0.7934477667035806,"[0, 1, 1, 0, 0, 0, 1, 1, 1]"
2,0.7447674418604651,0.8039719453672942,"[0, 1, 1, 0, 0, 0, 1, 1, 0]"
3,0.7581651901070506,0.8039719453672942,"[0, 1, 1, 0, 0, 0, 1, 1, 0]"
4,0.7325011074197121,0.8039719453672942,"[0, 1, 1, 0, 0, 0, 1, 1, 0]"
5,0.7424451827242524,0.8039719453672942,"[0, 1, 1, 0, 0, 0, 1, 1, 0]"
6,0.738263750461425,0.8039719453672942,"[0, 1, 1, 0, 0, 0, 1, 1, 0]"
7,0.736719084533038,0.8039719453672942,"[0, 1, 1, 0, 0, 0, 1, 1, 0]"
8,0.7734610557401256,0.8039719453672942,"[0, 1, 1, 0, 0, 0, 1, 1, 0]"
9,0.7782345884090069,0.8039719453672942,"[0, 1, 1, 0, 0, 0, 1, 1, 0]"
10,0.7684309708379475,0.8039719453672942,"[0, 1, 1, 0, 0, 0, 1, 1, 0]"
