Generation,Average_Fitness,Best_Fitness,Best_Individual
1,0.7475382882882883,0.8418693693693695,"[0, 0, 0, 1]"
2,0.7516742277992278,0.8418693693693695,"[0, 0, 0, 1]"
3,0.7308349420849422,0.8418693693693695,"[0, 0, 0, 1]"
4,0.77568564993565,0.8418693693693695,"[0, 0, 0, 1]"
5,0.6888735521235523,0.8418693693693695,"[0, 0, 0, 1]"
6,0.6325329794079795,0.8418693693693695,"[0, 0, 0, 1]"
7,0.5978873873873873,0.8418693693693695,"[0, 0, 0, 1]"
8,0.7184531853281854,0.8418693693693695,"[0, 0, 0, 1]"
9,0.5502335907335908,0.8418693693693695,"[0, 0, 0, 1]"
10,0.7099800514800516,0.8418693693693695,"[0, 0, 0, 1]"
