Generation,Average_Fitness,Best_Fitness,Best_Individual
1,0.7817112275055847,0.9471645165243087,"[0, 0, 1, 1]"
2,0.8087966059968057,0.9518470559854678,"[1, 1, 1, 1]"
3,0.7639395946880277,0.9518470559854678,"[1, 1, 1, 1]"
4,0.8113413397152531,0.9518470559854678,"[1, 1, 1, 1]"
5,0.898508489695416,0.9518470559854678,"[1, 1, 1, 1]"
6,0.9450506514220794,0.9518470559854678,"[1, 1, 1, 1]"
7,0.9126329439972528,0.9518470559854678,"[1, 1, 1, 1]"
8,0.9033857220254594,0.9518470559854678,"[1, 1, 1, 1]"
9,0.8724895964894651,0.9518470559854678,"[1, 1, 1, 1]"
10,0.8159563302322106,0.9518470559854678,"[1, 1, 1, 1]"
1,0.8069166666666667,0.9633333333333334,"[1, 1, 1, 1]"
2,0.7851250000000001,0.9633333333333334,"[1, 1, 1, 1]"
3,0.8368333333333334,0.9633333333333334,"[1, 1, 1, 1]"
4,0.80725,0.9633333333333334,"[1, 1, 1, 1]"
5,0.8271666666666668,0.9633333333333334,"[1, 1, 1, 1]"
6,0.8845000000000003,0.9633333333333334,"[1, 1, 1, 1]"
7,0.9089166666666667,0.9633333333333334,"[1, 1, 1, 1]"
8,0.9307916666666667,0.9633333333333334,"[1, 1, 1, 1]"
9,0.8042083333333334,0.9633333333333334,"[1, 1, 1, 1]"
10,0.8300833333333333,0.9633333333333334,"[1, 1, 1, 1]"
