Generation,Average_Fitness,Best_Fitness,Best_Individual
1,0.9375755966655248,0.9555247230786799,"[1, 0, 1, 1, 0, 1, 0, 0, 0]"
2,0.9388336759164098,0.9579262304442162,"[1, 0, 1, 1, 0, 1, 1, 1, 1]"
3,0.9442423204293708,0.958699326253283,"[1, 1, 0, 0, 0, 1, 1, 0, 1]"
4,0.9390692017814322,0.958699326253283,"[1, 1, 0, 0, 0, 1, 1, 0, 1]"
5,0.9381892771497087,0.958699326253283,"[1, 1, 0, 0, 0, 1, 1, 0, 1]"
6,0.9453969395911843,0.9633025008564576,"[1, 0, 0, 0, 1, 1, 1, 1, 1]"
7,0.8973370446499942,0.9633025008564576,"[1, 0, 0, 0, 1, 1, 1, 1, 1]"
8,0.8900366563891744,0.9633025008564576,"[1, 0, 0, 0, 1, 1, 1, 1, 1]"
9,0.9361464542651593,0.9633025008564576,"[1, 0, 0, 0, 1, 1, 1, 1, 1]"
10,0.9384788169464426,0.9633025008564576,"[1, 0, 0, 0, 1, 1, 1, 1, 1]"
