Generation,Average_Fitness,Best_Fitness,Best_Individual
1,0.7333272283272284,0.9300976800976801,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
2,0.75304884004884,0.9300976800976801,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
3,0.7680720390720391,0.9300976800976801,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
4,0.7853528693528695,0.9300976800976801,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
5,0.7934871794871795,0.9348840048840049,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
6,0.7945604395604395,0.9348840048840049,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
7,0.7950897435897436,0.9348840048840049,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
8,0.8331221001221001,0.9348840048840049,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
9,0.8692783882783882,0.9348840048840049,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
10,0.8421923076923077,0.9348840048840049,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
